combo,n_dim,holdout_gen,auc,acc,balacc,f1,threshold
z0,43,DC,0.97293877447727,0.9110589462702139,0.9110589462702139,0.91231679094883,0.39135605096817017
z0,43,Latte,0.5829269415770975,0.567433081674674,0.567433081674674,0.42482318046999773,0.9656174778938293
z0,43,OSora,0.843724313112762,0.7609075043630017,0.7609075043630018,0.74834680382072,0.7354106307029724
z0,43,Pika,0.6961583894022818,0.6483081353491721,0.648308135349172,0.6065243656866693,0.8634998202323914
z0,43,SEINE,0.9690464101619655,0.9088801711840229,0.9088801711840229,0.9092523530456402,0.4259667694568634
z0,43,SVD,0.9138554834396351,0.8417395779722079,0.8417395779722079,0.8455937735375345,0.542634129524231
z0,43,VCraft,0.9243875223170004,0.8526408450704225,0.8526408450704226,0.8516220528275128,0.574976921081543
z0,43,ZS,0.7995865838901847,0.7264271969211032,0.7264271969211032,0.7035106013208203,0.7965041399002075
eps,16,DC,0.8321081262590516,0.752999478351591,0.752999478351591,0.7656520663202178,0.43128445744514465
eps,16,Latte,0.8041311463980716,0.74159231297186,0.74159231297186,0.7395364925631269,0.4974476993083954
eps,16,OSora,0.5629388205123519,0.5471204188481675,0.5471204188481675,0.4415752098127824,0.8043289184570312
eps,16,Pika,0.48114025607972966,0.5356371490280778,0.5356371490280778,0.1845764854614412,0.9027684330940247
eps,16,SEINE,0.8400786094248892,0.7633737517831669,0.7633737517831669,0.7510785968861377,0.5150260329246521
eps,16,SVD,0.6731317589912613,0.6410190427174473,0.6410190427174473,0.6978557504873294,0.412640780210495
eps,16,VCraft,0.8018829349335449,0.7242957746478873,0.7242957746478873,0.7438665358194309,0.4278063476085663
eps,16,ZS,0.6058685502993029,0.5930083386786401,0.5930083386786401,0.5291280148423005,0.726770281791687
physics,25,DC,0.8740187798869571,0.7913406364110589,0.7913406364110589,0.7906855049712193,0.46997103095054626
physics,25,Latte,0.6584791240450922,0.6314344543582704,0.6314344543582704,0.6219640971488912,0.6620451211929321
physics,25,OSora,0.7335906362215949,0.6746945898778359,0.6746945898778359,0.6826693905345591,0.580849826335907
physics,25,Pika,0.6255900391899534,0.593952483801296,0.5939524838012958,0.6340038935756003,0.5579145550727844
physics,25,SEINE,0.8812036274854955,0.8026034236804565,0.8026034236804565,0.8052770448548813,0.41979554295539856
physics,25,SVD,0.8512996096416423,0.7766340710241894,0.7766340710241895,0.7806973218797373,0.4517541229724884
physics,25,VCraft,0.886697207895259,0.801056338028169,0.801056338028169,0.8026545581557807,0.4349042475223541
physics,25,ZS,0.6488538688432455,0.6064785118665812,0.6064785118665812,0.6287443267776097,0.590164065361023
z0+eps,59,DC,0.97848669714922,0.9251434533124674,0.9251434533124674,0.9258589511754068,0.4003699719905853
z0+eps,59,Latte,0.6395839977313507,0.5979752916952642,0.5979752916952643,0.6554918394353771,0.7750831842422485
z0+eps,59,OSora,0.8242840565408478,0.7504363001745201,0.75043630017452,0.753448275862069,0.7449185848236084
z0+eps,59,Pika,0.7085057385473956,0.660187185025198,0.660187185025198,0.5982978723404255,0.915159285068512
z0+eps,59,SEINE,0.9736509744587414,0.9215406562054208,0.9215406562054209,0.9223438051535475,0.42023494839668274
z0+eps,59,SVD,0.9148424382073872,0.8412249099330932,0.8412249099330932,0.8469362441081617,0.5697394013404846
z0+eps,59,VCraft,0.932418170997818,0.8556338028169014,0.8556338028169015,0.8563922942206655,0.5782259106636047
z0+eps,59,ZS,0.8224075810508291,0.7450288646568313,0.7450288646568313,0.731146432194792,0.7788597345352173
z0+physics,68,DC,0.9729287061459544,0.9115805946791862,0.9115805946791862,0.912831061969658,0.3913935422897339
z0+physics,68,Latte,0.6250571755221404,0.605353466026081,0.605353466026081,0.5452748121787268,0.9449618458747864
z0+physics,68,OSora,0.8662230872082575,0.7895287958115184,0.7895287958115184,0.7785530664708042,0.7612888813018799
z0+physics,68,Pika,0.7076357433521949,0.6555075593952484,0.6555075593952484,0.6370875995449374,0.856087863445282
z0+physics,68,SEINE,0.9748656138265898,0.9170827389443652,0.9170827389443652,0.9163819456932206,0.4489158093929291
z0+physics,68,SVD,0.9310524948155737,0.8628409675759136,0.8628409675759136,0.8642038216560509,0.5426784753799438
z0+physics,68,VCraft,0.9521154036897441,0.8830985915492958,0.8830985915492957,0.8790968681718864,0.5755922198295593
z0+physics,68,ZS,0.7951125723673627,0.7241821680564464,0.7241821680564464,0.6921975662133143,0.83295738697052
eps+physics,41,DC,0.917447846724078,0.8369848721961398,0.8369848721961398,0.8415716096324461,0.4182519316673279
eps+physics,41,Latte,0.791153245002353,0.7247769389155799,0.7247769389155799,0.7252483727303871,0.6023187041282654
eps+physics,41,OSora,0.7334406037846186,0.6759162303664922,0.6759162303664921,0.6783301576303482,0.6962599158287048
eps+physics,41,Pika,0.6635948605753008,0.6295896328293736,0.6295896328293736,0.5859154929577465,0.8089748620986938
eps+physics,41,SEINE,0.9210444982814443,0.842546362339515,0.842546362339515,0.843133771540238,0.4334718883037567
eps+physics,41,SVD,0.8350344573298345,0.7604220277920741,0.7604220277920741,0.7653138391731787,0.54438316822052
eps+physics,41,VCraft,0.8960740676453085,0.8080985915492958,0.8080985915492958,0.8114839156001383,0.44709575176239014
eps+physics,41,ZS,0.68725100093356,0.6391917896087236,0.6391917896087236,0.6056782334384858,0.7829620242118835
z0+eps+physics,84,DC,0.979162091698552,0.9243609806990088,0.924360980699009,0.925103305785124,0.3824094235897064
z0+eps+physics,84,Latte,0.6703632712453877,0.6226835964310227,0.6226835964310227,0.606970509383378,0.9234274625778198
z0+eps+physics,84,OSora,0.8488031212594682,0.7656195462478185,0.7656195462478185,0.7661500957687619,0.763924241065979
z0+eps+physics,84,Pika,0.7243320318391808,0.6706263498920086,0.6706263498920086,0.6508966043494849,0.8860950469970703
z0+eps+physics,84,SEINE,0.976718161440453,0.9210057061340942,0.9210057061340942,0.9210760734010334,0.422675758600235
z0+eps+physics,84,SVD,0.9371093138492321,0.8628409675759136,0.8628409675759136,0.8653019964619661,0.5947515368461609
z0+eps+physics,84,VCraft,0.9629462160285658,0.8950704225352113,0.8950704225352113,0.8965995836224844,0.5095607042312622
z0+eps+physics,84,ZS,0.8247334581097322,0.7533675432969853,0.7533675432969853,0.7383463763184757,0.828117847442627
