method,acc,bacc,f1,auc
latent-only,0.8562340966921119,0.855845475450802,0.850132625994695,0.9341319500151524
physics-only,0.760178117048346,0.7597416487998871,0.7504963600264726,0.8416687328928625
early-fusion,0.8937659033078881,0.8937060319219793,0.8902038132807364,0.9604532408960453
branch-norm-fusion,0.8918575063613231,0.8916422365804686,0.8877146631439894,0.9597661194003244
late-fusion-avg,0.8861323155216285,0.8856696274472626,0.8809048569527611,0.953857522764951
late-fusion-w0.60,0.8778625954198473,0.8774120152268716,0.8723404255319149,0.9544571335041414
confidence-weighted,0.8861323155216285,0.8856696274472626,0.8809048569527611,0.9540033740258351
cascade,0.8829516539440203,0.8824633305621594,0.877496671105193,0.9407600795375543
rank-fusion,0.8746819338422391,0.8749933151505429,0.8719948018193632,0.9485469162992025
stacking,0.8829516539440203,0.8828133735882813,0.8787878787878788,0.954549505969368
enriched-stacking,0.8804071246819338,0.8802220828532397,0.8759894459102903,0.9547115629259059
