strategy,fraction,n_train,mean_auc,min_auc
all_latent,0.2,6031,0.9744688644598029,0.9290859323046814
all_latent,0.4,12063,0.9758285290864596,0.9269538350538868
all_latent,0.6,18094,0.978317343921455,0.9353192133398227
all_latent,0.8,24126,0.9784758055827532,0.9342882806956437
all_latent,1.0,30158,0.9785599614791276,0.934349960426492
soft(l=1.0),0.2,6031,0.9710681034379959,0.9392672344311807
soft(l=1.0),0.4,12063,0.9740383146375817,0.9416893300803755
soft(l=1.0),0.6,18094,0.9737398920504801,0.9441855450700013
soft(l=1.0),0.8,24126,0.9749716808812081,0.9390671640437229
soft(l=1.0),1.0,30158,0.9751601906813763,0.9409553931149871
safe_max(g<=0.80),0.2,6031,0.9520875493600985,0.8926153164231176
safe_max(g<=0.80),0.4,12063,0.960164147486025,0.9086393662958622
safe_max(g<=0.80),0.6,18094,0.9609945426674551,0.9049007692527666
safe_max(g<=0.80),0.8,24126,0.9608993697801134,0.9076493465640996
safe_max(g<=0.80),1.0,30158,0.9633763591395887,0.9098660241928566
